Name;On_Time;Distance;Traffic_Lights
Gabriela;2;20,5;15
Patrícia;2;21,3;18
Gustavo;2;21,4;16
Letícia;2;31,5;15
Luiz Ovídi;2;17,5;16
Leonor;2;21,5;18
Dalila;2;21,5;18
Antônio;2;23,4;18
Júlia;2;22,7;18
Mariana;2;22,7;18
Roberto;2;21,7;18
Renata;2;19;18
Guilherme;2;26,4;18
Rodrigo;1;16;16
Giulia;2;19;18
Felipe;2;20;15
Karina;2;22;18
Pietro;2;19,2;18
Cecília;2;21;18
Gisele;2;20;14
Elaine;1;22;15
Kamal;2;20;17
Rodolfo;2;20;18
Pilar;2;21;13
Vivian;1;16,7;15
Danielle;0;17;10
Juliana;0;14,4;10
Adriano;1;18,5;15
Adelino;2;21;18
Carolina;1;17;15
Cristina;1;14,5;15
Eduardo;1;20,8;15
Zenilda;0;16;10
Cintia;2;19,5;18
Raimundo;2;20,9;18
Luciana;2;21;18
Emerson;2;20;18
Raquel;2;22;19
Anna Luiza;2;20;18
Claudio;2;19,6;18
Moara;2;20,3;18
Fernanda;0;22;11
Edson;0;29;10
Nuno;1;23,7;15
Bráuio;0;22;11
Marcelo;0;19;10
Lucia;0;15;10
Camilo;0;15;10
Filomena;0;12,8;11
Lídia;2;21,2;18
Gilmar;2;24,5;18
Itamar;2;18,5;18
Tatiana;0;19;12
Alessandra;0;11,5;10
Ester;0;17;10
Marcela;0;19;10
Viviane;1;20;15
Bianca;0;20;10
Angélica;0;15,5;11
Frederico;0;17;10
Franklin;0;15;10
Inácio;0;17;12
Lilian;1;19;15
Lucio;1;20;15
Soraya;0;12;11
Amanda;1;18,8;15
Cristiane;0;13;11
Cida;0;17;10
Zilda;0;13;11
Ana Lúcia;0;13;10
Robson;0;28;10
Renato;0;17;10
Marina;0;12;11
Flavia;0;18;10
Adriana;0;14,8;10
Alexandre;0;1;12
Cleber;0;12,1;11
Paola;0;1;11
Ana Paula;0;17;10
Andréa;0;10,2;11
Shirley;0;11;17
Edinalva;0;18,7;10
Ernani;0;12,2;10
Afonso;0;10,5;10
Reinaldo;0;11,5;10
César;0;12;10
Bruna;0;14,2;11
Márcia;1;18;15
Fabiana;1;17;15
Rebeca;0;11;18
Sandra;0;12;10
Geovani;0;15,4;11
Rita;0;17;10
Giovanna;0;19;10
Jaqueline;0;10,1;15
Sheila;0;24;10
Pedro;1;15;15
Horácio;1;14,4;15
Leandro;2;22,2;18
Estela;0;1;13
